,alpha,beta,gamma,delta,epsilon,theta,zeta,eta,mu,nu,tau,lambda,kappa,xi,rho,sigma,s,i,d,a,r,t,h,e,h_detected,r0
53,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9964343194672654,0.00017207673352604872,0.000921544683235353,1.2292766276768753e-05,0.0006264484901094358,0.0001689425073700458,0.0016377709477399804,2.660440447696409e-05,0.0006999989842028208,0.8469123628743992
54,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9963900371803104,0.000164964726532013,0.0009139416537925635,1.1716209871625977e-05,0.0006318277694370949,0.00017503668160386674,0.001684151744598128,2.8324033854307617e-05,0.0007326592501936675,0.8469123628743992
55,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.996347259795813,0.0001584285791931968,0.0009053391896261531,1.1189184184691552e-05,0.0006366215404962606,0.00018108136172698206,0.001729975982816656,3.010436614288667e-05,0.0007653197630430555,0.8469123628743992
56,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9963058747230114,0.00015241363605665885,0.0008958885002308388,1.0706651533046475e-05,0.0006408444004286728,0.00018706930969280785,0.0017752579087428888,3.194487030378724e-05,0.0007979499615691561,0.8469123628743992
57,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.996265780012851,0.00014687046789147568,0.0008857239670807027,1.0264163718352316e-05,0.0006445122233732433,0.00019299361980411165,0.0018200106007326688,3.384494454839415e-05,0.0008305223734245122,0.8469123628743992
58,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9962268833266769,0.0001417543837653139,0.0008749648582566715,9.857770280786647e-06,0.0006476419219320054,0.0001988477336095018,0.0018642460857394294,3.580391973946578e-05,0.0008630123223526127,0.8469123628743992
59,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9961891010050058,0.00013702498541450663,0.0008637168763328703,9.483947378174628e-06,0.0006502512274082435,0.0002046254504562129,0.0019079754450849196,3.782106291922697e-05,0.0008953976635971442,0.8469123628743992
60,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.996152357226487,0.0001326457612826654,0.000852073554882783,9.139541338609464e-06,0.0006523584906344984,0.00021032093421820153,0.0019512089102324826,3.9895580923638644e-05,0.0009276585446389516,0.8469123628743992
61,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9961165832482151,0.00012858371738967,0.0008401175177522617,8.821722839308023e-06,0.0006539825037069303,0.0002159287166841639,0.001993955949365467,4.2026624047027094e-05,0.0009597771887561958,0.8469123628743992
62,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9960817167194784,0.00012480904215371366,0.0008279216140625998,8.527948938937868e-06,0.0006551423420357308,0.00022144369805120537,0.0020362253455533663,4.421328972591161e-05,0.0009917376991755893,0.8469123628743992
63,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9960477010618211,0.00012129480235611088,0.0008155499407787335,8.255931045582712e-06,0.0006558572256006356,0.00022686114492969774,0.002078025267253092,4.6454626215128085e-05,0.0010235258818173348,0.8469123628743992
64,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9960144849090103,0.00011801666756755797,0.0008030587636188743,8.003607477826671e-06,0.0006561463980285073,0.00023217668622530293,0.0021193633318382643,4.874963623320413e-05,0.0010551290848411332,0.8469123628743992
65,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9959820216011339,0.00011495266051679051,0.0007904973460985793,7.769119665218875e-06,0.0006560290219959251,0.00023738630722639457,0.002160246662805787,5.1097280557391754e-05,0.0010865360533808364,0.8469123628743992
66,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9959502687276159,0.00011208293106042445,0.0007779086955955752,7.5507912986260465e-06,0.0006555240894429135,0.00024248634218944844,0.0022006819412450085,5.3496481551994465e-05,0.001117736798014457,0.8469123628743992
67,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9959191877144369,0.00010938955159236669,0.0007653302344904991,7.347109921728879e-06,0.0006546503451299233,0.0002474734656829191,0.0022406754521296923,5.594612661607053e-05,0.0011487224756597057,0.8469123628743992
68,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9958887434513176,0.00010685633191022189,0.0007527944036783691,7.156710580021917e-06,0.0006534262221444817,0.00025234468291930996,0.0022802331259104136,5.844507153947251e-05,0.0011794852817108778,0.8469123628743992
69,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9958589039550119,0.00010446865172437034,0.000740329205053738,6.978361230925916e-06,0.0006518697880618625,0.00025709731927857067,0.002319360575880558,6.099214375802458e-05,0.0012100183523482614,0.8469123628743992
70,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9958296400652492,0.0001022133091555573,0.0007279586889425931,6.810949680635908e-06,0.0006499987005659277,0.00026172900920109116,0.002358063131704169,6.358614550067432e-05,0.0012403156760535112,0.8469123628743992
71,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9958009251701737,0.00010007838371531911,0.0007157033918822945,6.6534718580429e-06,0.0006478301714402737,0.0002662376846064364,0.002396345869500771,6.622585682310552e-05,0.001270372013457028,0.8469123628743992
72,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9957727349584486,9.805311240081186e-05,0.0007035807296321757,6.505021268996252e-06,0.0006453809379406949,0.00027062156297407586,0.0024342136388109115,6.891003852375912e-05,0.0013001828247268601,0.8469123628743992
73,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.995745047195457,9.612777766170057e-05,0.0006916053498273496,6.3647794989627304e-06,0.0006426672406556668,0.0002748791352045406,0.0024716710867553893,7.163743493948298e-05,0.001329744203784018,0.8469123628743992
74,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9957178415212802,9.429360611215198e-05,0.0006797894482624493,6.232007651243966e-06,0.0006397048070509318,0.00027900915336353437,0.0025087226796604023,7.440677661913463e-05,0.001359052818697201,0.8469123628743992
75,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9956910992683491,9.254267696627024e-05,0.0006681430524065668,6.106038622994947e-06,0.000636508839976763,0.00028301061839733555,0.0025453727224066247,7.721678287441463e-05,0.0013881058576714741,0.8469123628743992
76,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9956648032968772,9.086783927120278e-05,0.0006566742754018176,5.9862701334676085e-06,0.0006330940104921032,0.00028688276789520936,0.0025816253757208196,8.00661642080286e-05,0.001416900980101108,0.8469123628743992
77,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9956389378463563,8.926263709932807e-05,0.0006453895434823439,5.872158428954287e-06,0.000629474454428657,0.0002906250639633294,0.002617484671621151,8.295362461997609e-05,0.0014454362722071535,0.8469123628743992
78,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.995613488401562,8.772124194012124e-05,0.0006342937994651454,5.763212597356499e-06,0.0006256637721805063,0.00029423718126477254,0.002652954527196716,8.587786379335881e-05,0.0014737102068258542,0.8469123628743992
